"id","series_id","series_number","accepted_by","image_data","created_at","updated_at","requested_by"
"019bbca1-5fef-71ef-b86a-2d1323c8a5e7","019bbca1-4273-7225-bd80-528ceaedaa6f","4","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/aPCedHphU6OdBzqCAoI4so3jm2kKDbfQDVUpbTAt.jpg","2026-01-14 13:10:51","2026-01-14 13:10:51","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbca2-9491-7359-9dec-49ff37a185c3","019bbca2-8dfb-72b4-9856-0c575354a642","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/m0ORQvjkvzV9UCIo4ZYtVSIo9lo1HyBo1kj9uHM3.jpg","2026-01-14 13:12:10","2026-01-14 13:12:10","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbca6-6f87-737a-a59a-f06572185fa5","019bbca6-68ec-73ee-9cc5-0b1e91e5f3a5","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/gieLmfwkhqkVzyTdskXiakXcko42RXhnBlxVI0JO.jpg","2026-01-14 13:16:22","2026-01-14 13:16:22","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbca6-7621-73e0-afdd-83f1e83649c1","019bbca6-68ec-73ee-9cc5-0b1e91e5f3a5","2","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/Ra0VRD5xGFhwGvpIyelEaOTVT9btt0QBuxJUmXEy.jpg","2026-01-14 13:16:24","2026-01-14 13:16:24","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbca8-69dc-73c6-8993-64a243ef8dcb","019bbca8-632d-735b-9aba-18044350a502","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/MoHFggw3msIq9eZe9Jj7yDoecRzRlq4JxxSExWn0.jpg","2026-01-14 13:18:32","2026-01-14 13:18:32","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbca8-730d-725d-87fe-a60a342dd429","019bbca8-632d-735b-9aba-18044350a502","2","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/Fr2VaJun5wx5rxVK7oN1NHmr2yJoGAoj8z4wem0M.jpg","2026-01-14 13:18:34","2026-01-14 13:18:34","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbca9-4a52-72de-8c4a-a26328004254","019bbca9-4478-729a-8486-b3d1f9db2636","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/mnsaCIlndOSAHQzFuFJFbQggEkg2Ct18g84ifGL6.jpg","2026-01-14 13:19:29","2026-01-14 13:19:29","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbcae-01b4-7164-afc9-f9ecc0b8b580","019bbcad-fa6b-72af-8667-dadb6a2ab471","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/GruaVlhhTOhAaKBOI0t6gNbJPDFWDGnfExcEFqLr.jpg","2026-01-14 13:24:38","2026-01-14 13:24:38","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbcae-0a5f-72b7-8642-bab281895d58","019bbcad-fa6b-72af-8667-dadb6a2ab471","2","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/zA6J6UIf47CQPSDXJ9IvnDOS2IS8xPW0HLk8GNkl.jpg","2026-01-14 13:24:41","2026-01-14 13:24:41","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbcae-120b-728a-9e61-9347232e2218","019bbcad-fa6b-72af-8667-dadb6a2ab471","3","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/CYpZk292CN3bAk0GJVoUH95iu55QTyqdfhMasYMO.jpg","2026-01-14 13:24:43","2026-01-14 13:24:43","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
